"u","ratio","scostamento","resonance","library_status","intensita_risonanza"
1,0.389071375131607,0.0557380417982737,0.824590841534811,"Library_0 (Possibilita)",0.5727
2,0.583060718141496,0.249727384808163,0.421421818309683,"Library_-1 (Rumore)",0.0823
3,0.0946656886953861,0.238667644637947,0.437862013172554,"Library_-1 (Rumore)",0.0919
4,0.852631230140105,0.519297896806772,0.165811391588927,"Library_-1 (Rumore)",0.0056
5,0.786746758036315,0.453413424702982,0.208268512339409,"Library_-1 (Rumore)",0.0107
6,0.119342260295525,0.213991073037808,0.476892504969453,"Library_-1 (Rumore)",0.1177
7,0.606446994934231,0.273113661600898,0.388662648984649,"Library_-1 (Rumore)",0.0651
8,0.0809569070115685,0.252376426321765,0.417576562452402,"Library_-1 (Rumore)",0.0802
9,0.390772416722029,0.0574390833886961,0.819751521762167,"Library_0 (Possibilita)",0.563
10,0.619472392136231,0.286139058802898,0.37153405003704,"Library_-1 (Rumore)",0.0572
11,0.285688824253157,0.0476445090801765,0.848010501217113,"Library_0 (Possibilita)",0.621
12,0.551122740376741,0.217789407043407,0.470665615539791,"Library_-1 (Rumore)",0.1133
13,0.0301455846056342,0.303187748727699,0.350250166976747,"Library_-1 (Rumore)",0.0482
14,0.987520121503621,0.654186788170288,0.103969821360009,"Library_-1 (Rumore)",0.0014
15,0.102614989969879,0.230718343363454,0.450073296219495,"Library_-1 (Rumore)",0.0995
16,0.787212941795588,0.453879608462254,0.207932821948372,"Library_-1 (Rumore)",0.0107
17,0.166584692895412,0.166748640437921,0.561584403465349,"Library_-1 (Rumore)",0.1887
18,0.821255946997553,0.48792261366422,0.184826491146314,"Library_-1 (Rumore)",0.0076
19,0.131141945486888,0.202191387846445,0.496766976361583,"Library_-1 (Rumore)",0.1324
20,0.0699844509363174,0.263348882397016,0.402019417423554,"Library_-1 (Rumore)",0.0718
21,0.907491297461092,0.574157964127759,0.137142564206131,"Library_-1 (Rumore)",0.0032
22,0.633801015326753,0.30046768199342,0.353562330144875,"Library_-1 (Rumore)",0.0496
23,0.55328977201134,0.219956438678006,0.467149534655888,"Library_-1 (Rumore)",0.1109
24,0.342086379649118,0.00875304631578427,0.970166286978481,"Library_1 (Necessita)",0.9162
25,0.826070298673585,0.492736965340252,0.181772990540258,"Library_-1 (Rumore)",0.0072
26,0.819514073198661,0.486180739865328,0.185943865690321,"Library_-1 (Rumore)",0.0077
27,0.568492744816467,0.235159411483134,0.443209784293077,"Library_-1 (Rumore)",0.0952
28,0.619606820400804,0.286273487067471,0.371361268790747,"Library_-1 (Rumore)",0.0571
29,0.830880472669378,0.497547139336045,0.178772520812543,"Library_-1 (Rumore)",0.0069
30,0.458833564305678,0.125500230972345,0.647741819441588,"Library_-1 (Rumore)",0.2851
